,Date,PMI,NMI,Consumer_sen,building_permits,Unemployment,Non_Farm,Initial_Claims,Continuing_Claims,SnP500,VIX,Net_Export,int_spread,Real_GDP,GDP_Growth_Rate
0,1948-02-29,50.2,,,,2328.0,44533.0,,,14.096666666666668,,,,,
1,1948-03-31,43.3,,,,2399.0,44683.0,,,14.284545454545452,,7.293,,2086.017,6.2
2,1948-04-30,45.4,,,,2386.0,44379.0,,,15.39909090909091,,,,,
3,1948-05-31,49.5,,,,2118.0,44796.0,,,16.1715,,,,,
4,1948-06-30,53.0,,,,2214.0,45034.0,,,16.824545454545454,,5.205,,2120.45,6.8
5,1948-07-31,48.4,,,,2213.0,45160.0,,,16.421428571428574,,,,,
6,1948-08-31,45.1,,,,2350.0,45178.0,,,15.939545454545458,,,,,
7,1948-09-30,42.1,,,,2302.0,45294.0,,,15.757619047619052,,4.949,,2132.598,2.3
8,1948-10-31,47.2,,,,2259.0,45245.0,,,16.187,,,,,
9,1948-11-30,42.4,,,,2285.0,45192.0,,,15.30684210526316,,,,,
10,1948-12-31,35.0,,,,2429.0,45032.0,,,15.183478260869562,,4.501,,2134.981,0.4
11,1949-01-31,32.9,,,,2596.0,44668.0,,,15.324761904761907,,,,,
12,1949-02-28,31.3,,,,2849.0,44497.0,,,14.78157894736842,,,,,
13,1949-03-31,34.5,,,,3030.0,44240.0,,,14.910869565217391,,6.478,,2105.562,-5.4
14,1949-04-30,35.5,,,,3260.0,44236.0,,,14.889999999999997,,,,,
15,1949-05-31,32.6,,,,3707.0,43984.0,,,14.766666666666667,,,,,
16,1949-06-30,31.6,,,,3776.0,43739.0,,,13.966818181818182,,6.283,,2098.38,-1.4
17,1949-07-31,39.0,,,,4111.0,43531.0,,,14.762000000000004,,,,,
18,1949-08-31,47.0,,,,4193.0,43624.0,,,15.287826086956523,,,,,
19,1949-09-30,52.3,,,,4049.0,43780.0,,,15.486666666666665,,5.179,,2120.044,4.2
20,1949-10-31,51.0,,,,4916.0,42942.0,,,15.895,,,,,
21,1949-11-30,51.0,,,,3996.0,43242.0,,,16.09842105263158,,,,,
22,1949-12-31,57.3,,,,4063.0,43522.0,,,16.539523809523814,,2.999,,2102.251,-3.3
23,1950-01-31,59.1,,,,4026.0,43526.0,,,16.875714285714288,,,,,
24,1950-02-28,60.5,,,,3936.0,43297.0,,,17.192777777777778,,,,,
25,1950-03-31,62.1,,,,3876.0,43954.0,,,17.346521739130434,,2.203,,2184.872,16.7
26,1950-04-30,68.1,,,,3575.0,44382.0,,,17.84526315789474,,,,,
27,1950-05-31,74.7,,,,3434.0,44718.0,,,18.434545454545454,,,,,
28,1950-06-30,76.6,,,,3367.0,45083.0,,,18.736818181818183,,1.643,,2251.507,12.8
29,1950-07-31,77.5,,,,3120.0,45454.0,,,17.384,,,,,
30,1950-08-31,75.8,,,,2799.0,46192.0,,,18.433043478260874,,,,,
31,1950-09-30,68.1,,,,2774.0,46438.0,,,19.084500000000002,,-0.74,,2338.514,16.4
32,1950-10-31,59.2,,,,2625.0,46706.0,,,19.859523809523807,,,,,
33,1950-11-30,63.1,,,,2589.0,46776.0,,,19.798499999999997,,,,,
34,1950-12-31,67.1,,,,2639.0,46861.0,,,19.745500000000003,,-0.154,,2383.291,7.9
35,1951-01-31,67.8,,,,2305.0,47288.0,,,21.20454545454546,,,,,
36,1951-02-28,69.3,,,,2117.0,47577.0,,,21.978888888888893,,,,,
37,1951-03-31,65.5,,,,2125.0,47873.0,,,21.617619047619048,,0.177,,2415.66,5.5
38,1951-04-30,53.5,,,,1919.0,47861.0,,,21.884761904761906,,,,,
39,1951-05-31,50.7,,,,1856.0,47952.0,,,21.93818181818182,,,,,
40,1951-06-30,45.5,,,,1995.0,48064.0,,,21.54619047619048,,1.943,,2457.517,7.1
41,1951-07-31,42.1,,,,1950.0,48061.0,,,21.931904761904757,,,,,
42,1951-08-31,43.6,,,,1933.0,48012.0,,,22.89217391304348,,,,,
43,1951-09-30,48.1,,,,2067.0,47954.0,,,23.48421052631578,,3.742,,2508.166,8.5
44,1951-10-31,49.6,,,,2194.0,48006.0,,,23.367727272727276,,,,,
45,1951-11-30,47.2,,,,2178.0,48147.0,,,22.713684210526317,,,,,
46,1951-12-31,46.5,,,,1960.0,48314.0,,,23.4215,,4.19,,2513.69,0.9
47,1952-01-31,44.7,,,,1972.0,48296.0,,,24.18136363636364,,,,,
48,1952-02-29,41.8,,,,1957.0,48522.0,,,23.698947368421056,,,,,
49,1952-03-31,40.0,,,,1813.0,48504.0,,,23.810000000000002,,3.721,,2540.55,4.3
50,1952-04-30,36.7,,,,1811.0,48620.0,,,23.731904761904765,,,,,
51,1952-05-31,39.5,,,,1863.0,48642.0,,,23.732857142857146,,,,,
52,1952-06-30,43.3,,,,1884.0,48282.0,,,24.38095238095238,,1.951,,2546.022,0.9
53,1952-07-31,48.3,,,,1991.0,48143.0,,,25.079545454545453,,,,,
54,1952-08-31,60.4,,,,2087.0,48924.0,,,25.18238095238095,,,,,
