State,,,,,,
"","% ofGraduatesTested †","AverageCompositeScore","AverageEnglishScore","AverageMathematicsScore","AverageReadingScore","AverageScienceScore"
Alabama,100,19.2,18.9,18.4,19.7,19.4
Alaska,65,19.8,18.7,19.8,20.4,19.9
Arizona,62,19.7,18.6,19.8,20.1,19.8
Arkansas,100,19.4,18.9,19.0,19.7,19.5
California,31,22.8,22.5,22.7,23.1,22.2
Colorado,100,20.8,20.1,20.3,21.2,20.9
Connecticut,31,25.2,25.5,24.6,25.6,24.6
Delaware,18,24.1,24.1,23.4,24.8,23.6
District of Columbia,32,24.2,24.4,23.5,24.9,23.5
Florida,73,19.8,19.0,19.4,21.0,19.4
Georgia,55,21.4,21.0,20.9,22.0,21.3
Hawaii,90,19.0,17.8,19.2,19.2,19.3
Idaho,38,22.3,21.9,21.8,23.0,22.1
Illinois,93,21.4,21.0,21.2,21.6,21.3
Indiana,35,22.6,22.0,22.4,23.2,22.3
Iowa,67,21.9,21.2,21.3,22.6,22.1
Kansas,73,21.7,21.1,21.3,22.3,21.7
Kentucky,100,20.0,19.6,19.4,20.5,20.1
Louisiana,100,19.5,19.4,18.8,19.8,19.6
Maine,8,24.3,24.2,24.0,24.8,23.7
Maryland,28,23.6,23.3,23.1,24.2,23.2
Massachusetts,29,25.4,25.4,25.3,25.9,24.7
Michigan,29,24.1,24.1,23.7,24.5,23.8
Minnesota,100,21.5,20.4,21.5,21.8,21.6
Mississippi,100,18.6,18.2,18.1,18.8,18.8
Missouri,100,20.4,19.8,19.9,20.8,20.5
State,,,,,,
"","% ofGraduatesTested †","AverageCompositeScore","AverageEnglishScore","AverageMathematicsScore","AverageReadingScore","AverageScienceScore"
Montana,100,20.3,19.0,20.2,21.0,20.5
Nebraska,84,21.4,20.9,20.9,21.9,21.5
Nevada,100,17.8,16.3,18.0,18.1,18.2
New Hampshire,18,25.5,25.4,25.1,26.0,24.9
New Jersey,34,23.9,23.8,23.8,24.1,23.2
New Mexico,66,19.7,18.6,19.4,20.4,20.0
New York,31,24.2,23.8,24.0,24.6,23.9
North Carolina,100,19.1,17.8,19.3,19.6,19.3
North Dakota,98,20.3,19.0,20.4,20.5,20.6
Ohio,75,22.0,21.2,21.6,22.5,22.0
Oklahoma,100,19.4,18.5,18.8,20.1,19.6
Oregon,40,21.8,21.2,21.5,22.4,21.7
Pennsylvania,23,23.7,23.4,23.4,24.2,23.3
Rhode Island,21,24.0,24.0,23.3,24.7,23.4
South Carolina,100,18.7,17.5,18.6,19.1,18.9
South Dakota,80,21.8,20.7,21.5,22.3,22.0
Tennessee,100,19.8,19.5,19.2,20.1,19.9
Texas,45,20.7,19.5,20.7,21.1,20.9
Utah,100,20.3,19.5,19.9,20.8,20.6
Vermont,29,23.6,23.3,23.1,24.4,23.2
Virginia,29,23.8,23.5,23.3,24.6,23.5
Washington,29,21.9,20.9,21.9,22.1,22.0
West Virginia,69,20.4,20.0,19.4,21.2,20.5
Wisconsin,100,20.5,19.7,20.4,20.6,20.9
Wyoming,100,20.2,19.4,19.8,20.8,20.6
National,60,21.0,20.3,20.7,21.4,21.0
